manufacturer,model,Model_Count,Depreciation_per_Mile,Est_Loss_Per_10k_Miles_USD,Model_Reliability_R2
acura,ilx,97.0,-0.08603312549820247,860.33,0.273
acura,ilx 2.0l sedan 4d,54.0,-0.04503787504004921,450.38,0.878
acura,ilx premium pkg sedan 4d,88.0,-0.16198068630668314,1619.81,0.654
acura,ilx sedan 4d,119.0,-0.12981354308624066,1298.14,0.569
acura,mdx,564.0,-0.05959742844049598,595.97,0.259
acura,mdx advance pkg sport,99.0,-0.2593561225502964,2593.56,0.931
acura,mdx sh-awd sport utility,464.0,-0.25985268614519963,2598.53,0.962
acura,mdx sh-awd w/technology,259.0,-0.2631018646167806,2631.02,0.48
acura,mdx sport utility 4d,135.0,-0.21582400539659533,2158.24,0.916
acura,mdx technology pkg sport,86.0,-0.42978420244592785,4297.84,0.948
acura,rdx,209.0,-0.12896915133941209,1289.69,0.482
acura,rdx advance pkg sport,83.0,-0.4942643112048732,4942.64,0.95
acura,rdx sh-awd a-spec pkg,80.0,-0.04582606321988536,458.26,0.793
acura,rdx sh-awd sport utility,84.0,-0.3349209790080738,3349.21,0.93
acura,rdx sport utility 4d,226.0,-0.1770364361364467,1770.36,0.713
acura,rdx technology pkg sport,121.0,-0.12135497918414193,1213.55,0.752
acura,rl,51.0,-0.0007141288983125467,7.14,0.133
acura,tl,346.0,-0.013594554197306931,135.95,0.113
acura,tl sedan 4d,55.0,-0.049893371515055115,498.93,0.798
acura,tlx,147.0,-0.12348426519163554,1234.84,0.29
acura,tlx 3.5 sedan 4d,55.0,-0.20808544957480138,2080.85,0.628
acura,tlx 3.5 w/technology pkg,88.0,-0.24277363685299644,2427.74,0.709
acura,tsx,189.0,-0.040506865902026075,405.07,0.096
acura,tsx sedan 4d,143.0,-0.07304645772689013,730.46,0.715
alfa-romeo,romeo giulia sedan 4d,119.0,-0.20304334185859876,2030.43,0.475
alfa-romeo,romeo giulia ti sedan 4d,77.0,-0.043614189176306425,436.14,0.081
alfa-romeo,romeo stelvio,54.0,-0.07991182683465624,799.12,0.134
alfa-romeo,romeo stelvio sport suv 4d,105.0,-0.12063496398059653,1206.35,0.547
alfa-romeo,romeo stelvio sport utility,56.0,-0.7764915406648887,7764.92,0.439
alfa-romeo,romeo stelvio ti sport,263.0,-0.01245409496280474,124.54,0.008
audi,a3,117.0,-0.12780715972454307,1278.07,0.58
audi,a4,528.0,-0.022614227466818182,226.14,0.095
audi,a4 allroad premium plus,97.0,-0.20050572815084614,2005.06,0.69
audi,a4 allroad premium wagon 4d,99.0,0.6138107416879768,-6138.11,1.0
audi,a4 ultra premium sedan 4d,106.0,-0.04984080493351655,498.41,0.083
audi,a5,118.0,-0.091343730443898,913.44,0.247
audi,a6,220.0,-0.16560721539496143,1656.07,0.529
audi,a6 2.0t premium plus sedan,186.0,-0.15749720790814092,1574.97,0.462
audi,a6 2.0t premium sedan 4d,134.0,-0.16407231930455166,1640.72,0.443
audi,a6 3.0t premium plus sedan,83.0,-0.07869328180899081,786.93,0.2
audi,a6 3.0t prestige sedan 4d,60.0,-0.35484314050601096,3548.43,0.834
audi,a6 45 tfsi premium plus,92.0,-0.7631226152418271,7631.23,1.0
audi,a7,103.0,-0.2949149218700658,2949.15,0.611
audi,q3,89.0,-0.16426190276454838,1642.62,0.349
audi,q5,338.0,-0.060623178526021955,606.23,0.189
audi,q5 3.0t premium plus sport,56.0,-0.22740975274840453,2274.1,0.977
audi,q5 premium sport utility 4d,184.0,-0.13095662089336638,1309.57,0.388
audi,q7,207.0,-0.15960459055510573,1596.05,0.272
audi,q8 premium sport utility 4d,153.0,0.23565241392874997,-2356.52,0.629
audi,s4,52.0,-0.2241322801077708,2241.32,0.561
audi,s5,80.0,-0.18237754858634697,1823.78,0.331
audi,s5 premium plus convertible,55.0,1.6557310285533278,-16557.31,-inf
audi,s5 premium plus coupe 2d,127.0,-0.23031614506219697,2303.16,0.56
audi,s5 premium plus sedan 4d,150.0,-0.32630700761914144,3263.07,0.821
audi,s5 prestige coupe 2d,89.0,-0.37163374100035096,3716.34,0.982
audi,tt,71.0,-0.15330761920458685,1533.08,0.575
bmw,1 series 128i coupe 2d,149.0,-0.07622918070066409,762.29,0.915
bmw,1 series 135i convertible 2d,79.0,-0.29326537024752936,2932.65,1.0
bmw,3 series,714.0,-0.1258872895337014,1258.87,0.445
bmw,3 series 328i xdrive,62.0,-0.08426115591445109,842.61,0.297
bmw,3 series 330i xdrive sedan,300.0,-0.3484507765898316,3484.51,0.639
bmw,3 series 340i sedan 4d,219.0,-0.1447029870312129,1447.03,0.761
bmw,3-series,171.0,-0.14389191632522116,1438.92,0.394
bmw,320i,79.0,-0.10670129360545955,1067.01,0.594
bmw,325i,85.0,-0.016569682603781555,165.7,0.147
bmw,328i,400.0,-0.009635376508967591,96.35,0.072
bmw,328i xdrive,52.0,-0.08220815412465188,822.08,0.368
bmw,328xi,73.0,-0.05569875383925038,556.99,0.044
bmw,330i,64.0,-0.12179664597814302,1217.97,0.379
bmw,335i,135.0,-0.09007705341935408,900.77,0.253
bmw,4 series,106.0,-0.15267538504187472,1526.75,0.165
bmw,4 series 430i convertible 2d,118.0,-0.1906676121962184,1906.68,0.94
bmw,4 series 440i xdrive gran,148.0,-0.23909482233457338,2390.95,1.0
bmw,5 series,494.0,-0.03002954943505596,300.3,0.101
bmw,5-series,52.0,-0.1431182746187568,1431.18,0.425
bmw,528i,157.0,-0.10082595019041578,1008.26,0.657
bmw,530i,66.0,-0.16532191438201324,1653.22,0.578
bmw,535i,138.0,-0.09260934043678716,926.09,0.352
bmw,6 series,53.0,-0.21120597183767645,2112.06,0.204
bmw,7 series,97.0,-0.152464922913695,1524.65,0.173
bmw,m3,72.0,-0.10375367084614742,1037.54,0.105
bmw,m3 convertible 2d,61.0,-0.13701758392327018,1370.18,1.0
bmw,m4,51.0,-0.5949626653627509,5949.63,0.884
bmw,x1,176.0,-0.13548304418925355,1354.83,0.343
bmw,x1 xdrive28i,59.0,-0.20092971117950206,2009.3,0.298
bmw,x3,397.0,-0.16096810707114337,1609.68,0.505
bmw,x3 sdrive30i sport utility,80.0,-0.27847515914194826,2784.75,0.845
bmw,x3 xdrive28i,90.0,-0.1371344703346575,1371.34,0.418
bmw,x3 xdrive30i sport utility,73.0,-0.2658381797758341,2658.38,0.689
bmw,x5,657.0,-0.06985521355251452,698.55,0.141
bmw,x5 xdrive35d sport utility,55.0,-0.2702205713072561,2702.21,0.726
bmw,x5 xdrive35i,91.0,-0.1793328769948407,1793.33,0.417
bmw,x5 xdrive35i sport utility,69.0,-0.2049300095657919,2049.3,0.72
bmw,x5 xdrive50i sport utility,87.0,-0.38370881057402406,3837.09,0.684
bmw,x6,69.0,-0.24627285364952012,2462.73,0.353
bmw,x6 xdrive35i sport utility,119.0,-0.19045090708391302,1904.51,0.289
bmw,z4,56.0,-0.10457973992467733,1045.8,0.491
bmw,z4 sdrive35is roadster 2d,97.0,0.7195295382923438,-7195.3,-0.0
buick,century,102.0,-0.02504510770163808,250.45,0.132
buick,enclave,432.0,-0.025127267333892936,251.27,0.121
buick,enclave avenir sport,101.0,-0.10138734206994125,1013.87,0.847
buick,enclave essence sport,213.0,-0.22250869096360537,2225.09,0.707
buick,enclave leather sport,116.0,-0.13250948484852504,1325.09,0.914
buick,enclave premium sport,147.0,-0.2690669319465244,2690.67,0.912
buick,encore,226.0,-0.017674959511762928,176.75,0.067
buick,encore gx essence sport,59.0,-0.023638472221266416,236.38,0.001
buick,encore gx select sport,219.0,-0.4939772957585829,4939.77,0.274
buick,lacrosse,281.0,-0.06340364551152704,634.04,0.319
buick,lesabre,127.0,-0.0002939647697844317,2.94,0.016
buick,lucerne,155.0,-0.03552060435721422,355.21,0.384
buick,regal,101.0,-0.0009409698317696665,9.41,0.031
buick,regal premium ii sedan 4d,85.0,-0.07901583270115942,790.16,0.662
buick,rendezvous,50.0,0.006237170763066964,-62.37,0.072
buick,verano,96.0,-0.03849477456882136,384.95,0.257
cadillac,ats,182.0,-0.05354806730904658,535.48,0.077
cadillac,ct5 premium luxury,240.0,-0.46435236918562894,4643.52,0.636
cadillac,cts,388.0,-0.09950425667146465,995.04,0.392
cadillac,cts 2.0 luxury sedan 4d,130.0,-0.1710595554147914,1710.6,0.592
cadillac,cts sedan 4d,85.0,-0.14132814855146877,1413.28,0.806
cadillac,deville,165.0,-0.00019345105652398366,1.93,0.001
cadillac,dts,179.0,-0.049407388910025656,494.07,0.424
cadillac,escalade,521.0,-0.26392139773151857,2639.21,0.537
cadillac,escalade esv,119.0,-0.25957521469696626,2595.75,0.598
cadillac,srx,363.0,-0.06442384326930715,644.24,0.239
cadillac,srx luxury collection,85.0,-0.17209590997772445,1720.96,0.558
cadillac,sts,65.0,-0.04077520817257228,407.75,0.356
cadillac,xt4 premium luxury,52.0,-0.15419884222184155,1541.99,0.164
cadillac,xt4 sport suv 4d,372.0,-0.32252033214647463,3225.2,0.491
cadillac,xt5,77.0,-0.10908527185400856,1090.85,0.099
cadillac,xt5 luxury sport,53.0,-0.12419853220350094,1241.99,0.28
cadillac,xt5 premium luxury,54.0,-0.44488400342993545,4448.84,0.802
cadillac,xts,118.0,-0.08457119066771793,845.71,0.208
chevrolet,avalanche,289.0,-0.03230871936481637,323.09,0.164
chevrolet,aveo,66.0,-0.025601974623437006,256.02,0.355
chevrolet,blazer,112.0,-0.02261835584630433,226.18,0.108
chevrolet,blazer 2lt sport,73.0,-0.20229193386542502,2022.92,0.708
chevrolet,c10,59.0,-0.06427086208462876,642.71,0.115
chevrolet,camaro,671.0,-0.09172352269405872,917.24,0.176
chevrolet,camaro lt coupe 2d,180.0,-0.1615637750677255,1615.64,0.565
chevrolet,camaro ss,58.0,-0.15636084389217222,1563.61,0.088
chevrolet,camaro ss convertible,51.0,-0.19783761892497614,1978.38,0.307
chevrolet,camaro ss coupe 2d,504.0,-0.2880887522003076,2880.89,0.478
chevrolet,cavalier,53.0,-0.0034981873425067194,34.98,0.015
chevrolet,cc4500,53.0,-0.29991431019708603,2999.14,1.0
chevrolet,cobalt,179.0,-0.009100118134181587,91.0,0.1
chevrolet,colorado,501.0,-0.14005158411768998,1400.52,0.505
chevrolet,colorado crew cab lt,108.0,-0.16278869193020545,1627.89,0.819
chevrolet,colorado crew cab work,104.0,-0.0987947046038338,987.95,1.0
chevrolet,colorado crew cab z71,196.0,-0.12320076630826565,1232.01,0.704
chevrolet,colorado extended cab,462.0,-0.09426286075940021,942.63,0.581
